nombre,poblacion,superficie,continente
Argentina,46000000,2780400,América
Brasil,215000000,8515767,América
Canadá,38000000,9984670,América
España,47000000,505990,Europa
Francia,68000000,551695,Europa
Alemania,84000000,357022,Europa
China,1412000000,9596960,Asia
Japón,125000000,377975,Asia
India,1408000000,3287263,Asia
Egipto,110000000,1001450,África
Sudáfrica,60000000,1221037,África
Nigeria,218000000,923768,África
Australia,26000000,7692024,Oceanía
Nueva Zelanda,5000000,268021,Oceanía
Italia,59000000,301340,Europa
